Compound,Year,CASN,AcuteFish,ChronicFish,AcuteInvert,ChronicInvert,AcuteNonvascularPlants,AcuteVascularPlants,MaxConcAquaticLifeCriteriaCMC,ContinuousConcAquaticLifeCriteriaCCC
Mecoprop-p acid (MCPP-p),2015,16484-77-8,,,> 45500,50800,,,,
Mecoprop-p degradate 2-methyl-4-chlorophenol,2015,16484-77-8,1150,,145,,,93000,,
Mecoprop-p DMAS,2015,66423-9-4,> 46500,,,,14,1300,,
Mefenoxam,,70630-17-0,> 60500,,20950,100,,77000,,
Mesosulfuron-methyl,2014,208465-21-8,> 45750,29600,> 45100,1700,2400,0.64,,
"Mesosulfuron-methyl degradate (F092944) (2-Amino-4,6-dimethoxypyrimidine)",2014,,48500,,> 50000,24000,120000,> 100000,,
"Mesosulfuron-methyl degradate (F147447) (6-Methanesulfonamidomethyl- 1,2-benzisothiazol-3(2H)-one 1,l dioxide)",2014,,,,,,> 92000,> 90900,,
Mesosulfuron-methyl degradate (F160459) (Methyl 2-[3-(4-hydroxy-6-methoxypyrimidine-2- yl)ureidosulfonyl]-4-methanesulfonamido-methyl benzoate),2014,,,,,,98000,1500,,
Mesosulfuron-methyl degradate (F160460) (2-[3-(4-hydroxy-6-methoxypyrimidin-2-yl) ureidosulfonyl]-4-methanesulfonamidomethyl-benzoic acid),2014,,,,,,,> 94710,,
Mesotrione,2015,104206-82-8,> 60000,11000,420000,< 97000,1900,17.7,,
Mesotrione degradate 2-amino-4-methylsulfonylbenzoic acid (AMBA),2015,393085-45-5,75000,,80000,,8900,,,
Mesotrione degradate 2-nitro-4-methylsulfonylbenzoic acid (MNBA),2015,110964-79-9,> 60000,,67000,,,,,
Metalaxyl,,57837-19-1,65000,9100,14000,100,140000,92000,,
Metaldehyde,,108-62-3,34500,,> 38830,,,,,
Metam sodium and Metam potassium degradate- Methyl isothiocyanate (MITC),2014,137-42-8,26.5,,27.5,25,200,590,,
Methamidophos,,10265-92-6,12500,48.9,13,4.5,> 50000,,,
"Methanearsonic Acid, disodium salt DSMA",,144-21-8,> 56000,,76500,,1500,72700,,
"Methanearsonic Acid, sodium salt MSMA",,2163-80-6,6650,,38750,,2800,53000,,
Methidathion,,950-37-8,1.1,6.3,1.5,0.66,,,,
Methiocarb,,2032-65-7,218,50,3.5,0.1,,,,
Methomyl,,16752-77-5,160,12,2.5,0.7,,,,
Methoprene,,40596-69-8,380,48,165,51,,,,
Methoxychlor,,72-43-5,7.5,,0.7,,,,,
Methoxyfenoxide,2014,161050-58-4,> 2100,530,25,6.3,> 3400,,,
Methyl Bromide,2014,74-83-9,1950,,1300,,2200,,,
Methyl bromide degradate- bromide ion,2014,,8000000,7800,2900000,7800,2500000,,,
Methyl paraoxon,,950-35-6,,,1.15,1,,,,
Methyl parathion,,298-00-0,925,< 10,0.485,0.25,15000,18000,,
Metofluthrin,2014,240494-70-6,0.6,,2.35,,,,,
Metolachlor,2016,51218-45-2,1900,30,550,1,10,48,,
Metolachlor ethane sulfonic acid,2015,171118-09-5,24000,,> 54000,,> 99450,43000,,
Metolachlor oxanilic acid,2015,152019-73-3,> 46550,,7700,,57100,> 95400,,
Metribuzin,,21087-64-9,21000,3000,2100,1290,8.7,130,,
Metsulfuron methyl,,74223-64-6,> 75000,4500,> 75000,,31,0.36,,
Mevinphos,2013,7786-34-7,,,,,,,,
Molinate,,2212-67-1,105,390,170,340,220,3300,,
Momfluorothrin,2016,609346-29-4,0.6,3.1,3.9,3.1,,> 2500,,
MSMA,2014,2163-80-6,> 42500,,38500,,5630,104000,,
Myclobutanil,,88671-89-0,1200,980,5500,,830,,,
Nabam,2013,142-59-6,,,,,,,,
Naled,,300-76-5,46,2.9,0.07,0.045,25,> 1800,,
Napropamide,,15299-99-7,3200,1100,7150,1100,3400,,,
Niclosamide,2014,50-65-7,15,,17,56,41,,,
Nicosulfuron,2013,111991-09-4,> 500000,,> 500000,43000,,,,
Norflurazon,,27314-13-2,4050,770,> 7500,1000,9.7,58.2,,
Novaluron,2013,116714-46-6,> 490,6.16,0.075,0.03,3549,> 75.4,,
Orthosulfamuron,,213464-77-8,> 61000,6100,> 48650,6500,80,0.7,,
Oryzalin,,19044-88-3,1440,220,750,358,42,> 15.4,,
Oxadiazon,2015,19666-30-9,600,33,1090,33,5.2,41,,
Oxamyl,,23135-22-0,2100,770,90,27,120,30000,,
Oxathiapiprolin,2016,1003318-67-9,> 345,460,> 280,750,> 140,> 790,,
Oxathiapiprolin degradate IN-E8S72 (5-(Trifluoromethyl)-1H-pyrazole-3-carboxylic acid),2016,129768-28-1,> 51000,,> 50000,,> 102000,,,
Oxathiapiprolin degradate IN-P3X26 (2-[1-[2-[5-Methyl-3-(trifluoromethyl)-1H-pyrazol-1-yl]acetyl]-4-piperidinyl]-4-thiazolecarboxylic acid),2016,1003318-67-9,> 33850,,> 33850,,> 66400,,,
"Oxathiapiprolin degradate IN-Q7D41 (1-[4-[4-[5-(2,6-Difluorophenyl)-3-isoxazolyl]-2-thiazolyl]-1-piperidinyl]-2-[5-methyl-3- (trifluoromethyl)-1H-pyrazol-1-yl]ethanone)",2016,1148046-53-0,> 90,,> 75,,> 210,,,
Oxathiapiprolin degradate IN-QFD61 (1-[4-(4-Acetyl-2-thiazolyl)-1-piperindyl]- 2-[5-methyl-3-(trifluoromethyl)-1H-pyrazol-1-yl]ethanone),2016,1152179-07-1,> 3690,,2570,,> 7530,,,
"Oxathiapiprolin degradate IN-QPS10 (4-[4-[5-(2,6-Difluorophenyl)-4,5-dihydro-3-isoxazolyl)-2-thiazolyl]piperidine)",2016,1148104-71-5,3270,,7350,,810,,,
"Oxathiapiprolin degradate IN-RAB06 (1-[2-[4-[4-[5-(2,6-Difluorophenyl)-4,5-dihydro-3-isoxazolyl]-2-thiazolyl]-1-piperidinyl]-2-oxoethyl]- 3-(trifluoromethyl)-1H-pyrazole-5-carboxylic acid)",2016,1003318-67-9,> 24850,,> 47650,,> 96900,,,
"Oxathiapiprolin degradate IN-RDT31 (1-[4-[4-[5-(2,6-Difluorophenyl)-4,5-dihydro-3-isoxazolyl]-2-thiazolyl]-4-hydroxy-1- piperidinyl]-2-[5-methyl-3-(trifluoromethyl)-1H-pyrazol-1-yl]ethanone)",2016,1151573-12-4,> 5800,,> 5250,,> 11400,,,
"Oxathiapiprolin degradate IN-RSE01 (3-(2,6-Difluorophenyl)-3-hydroxy-1-[2-[1-[2-[5-methyl-3-(trifluoromethyl)-1H-pyrazol-1-yl]acetyl]- 4-piperidinyl]-4-thiazolyl]-1-propanone)",2016,1003318-67-9,> 4920,,> 5100,,> 10100,,,
"Oxathiapiprolin degradate IN-RYJ52 (1-[4-[4-[(1S,3S)-3-(2,6-Difluorophenyl)-1,3-dihydroxypropyl]-2-thiazolyl]-1-piperindyl]-2-[5- methyl-3-(trifluoromethyl)-1H-pyrazol-1-yl]ethanone)",2016,1003318-67-9,> 6900,,> 8100,,> 15300,,,
"Oxathiapiprolin degradate IN-S2K66 (1-[4-[4-[3-(2,6-Difluorophenyl)-1-hydroxypropyl]-2-thiazolyl]-1-piperidinyl]-2-[5-methyl-3- (trifluoromethyl)-1H-pyrazol-1yl]ethanone)",2016,1003318-67-9,> 3740,,210,,9210,,,
Oxathiapiprolin degradate IN-S2K67 (1-[4-[4-(1-Hydroxyethyl)-2-thiazolyl)-1-piperindyl]- 2-[5-methyl-3-(trifluoromethyl)-1H-pyrazol-1-yl]ethanone),2016,1003318-67-9,> 41250,,29600,,> 83500,,,
Oxydemeton-Methyl,2014,301-12-2,365,5,95,46,> 100000,,,
Oxyfluorfen,2015,42874-03-3,100,1.3,750,13,0.29,0.33,,
Oxypyrimidine (diazinon degradate),,4562-27-0,> 50500,,> 51000,,> 109000,,,
Oxytetracycline (hydrochloride salt),,2058-46-0,> 47450,,> 51000,,,,,
Paclobutrazol,2014,76738-62-0,7950,49,120,9,40800,8,,
Paraquat dichloride,,1910-42-5,6000,< 369,600,< 36.9,0.396,71,,
Pebulate,,1114-71-2,3150,,3315,,230,1800,,
Pendimethalin,,40487-42-1,69,6.3,140,14.5,5.2,12.5,,
Penoxsulam,2013,219714-96-2,> 51000,10200,> 49150,2950,92,3,,
Pentachloroaniline (PCA),,527-20-8,28,,150,,,,,
Pentachlorobenzene (PCB),,608-93-5,70,,80,,,,,
Pentachloronitrobenzene (PCNB),,82-68-8,50,13,385,18,,,,
Pentachlorophenol (PCP),,87-86-5,47.5,,25,,,,,
Penthiopyrad,2013,183675-82-3,145,100,1265.5,471,1200,> 1205,,
Permethrin,,52645-53-1,0.395,0.0515,0.0106,0.0014,68,,,
Phorate,,298-02-2,1.175,0.34,0.3,0.21,> 1300,,,
Phosmet,2014,732-11-6,35,3.2,1,0.8,,,,
Phthalimide (PI),2014,85-41-6,19000,,19500,,,,,
Picaridin,2015,119515-38-7,86500,,> 51500,,87300,,,
Picloram acid,2015,2/1/1918,2750,550,17200,11800,34900,,,
Picloram Potassium Salt,,2545-60-0,6500,550,34150,11800,,,,
Picloram TIPA Salt,,6753-47-5,187500,,,,,,,
Picoxystrobin,2014,117428-22-5,32.5,36,12,1,4,210,,
Pinoxaden,,243973-20-8,10000,,,,1200,4300,,
Pinoxaden (NOA 447204),,,> 60000,,> 60000,,95600,> 93500,,
Pinoxaden (NOA 497854),,,> 51500,> 960,> 50500,5800,> 100000,10000,,
Piperalin,2015,3478-94-2,385,,945,,,,,
Piperonyl Butoxide,,51-03-6,950,40,255,30,,,,
Pirimicarb,,23103-98-2,14500,,9.5,,,,,
Pirimiphos Methyl,,29232-93-7,202,180,55,,1200,,,
Polybutene,,9003-29-6,,,,,,,,
Potassium Salts of Fatty Acids,2016,,4595,,285,500,590,> 5000,,
Prallethrin,,23031-36-9,6,3,3.1,0.65,,,,
Prodiamine,2013,29091-21-2,> 6.5,,> 6.5,1.5,,,,
Profenofos,,41198-08-7,7.05,2,0.465,0.2,,,,
Prohexadione Calcium,2014,127277-53-6,> 47300,,> 50000,12500,> 1100,> 1200,,
Prometon,2014,1610-18-0,6000,19700,12850,3450,98,,,
Prometryn,2014,7287-19-6,1455,620,4850,1000,1.04,11.9,,
Propachlor,,1918-16-7,85,,395,,13.5,,,
Propanil,,709-98-8,1150,9.1,600,86,16,110,,
Propargite,2015,2312-35-8,40.5,16,7,9,19.4,75000,,
Propazine,2014,139-40-2,> 2190,560,> 2660,47,24.8,100,,
Propetamphos,,31218-83-4,94,,1.65,,,,,
Propiconazole,,60207-90-1,425,95,650,260,21,4828,,
Propionic Acid,,79-09-4,25500,,11350,,,,,
Propoxur,,114-26-1,1850,,5.5,,,,,
Propylene Oxide,2014,75-56-9,42000,,68500,,> 860,> 870,,
Propyzamide,,23950-58-5,36000,7700,> 2800,600,> 4000,1180,,
Pymetrozine,2014,123312-89-0,> 64000,11700,43500,25,17000,> 109000,,
Pyraclostrobin,2015,175013-18-0,3.1,2.35,7.85,4,1.5,1197,,
Pyraclostrobin degradate BF 500-11,2015,175013-18-0,> 49550,,> 50000,,1000000,,,
Pyraclostrobin degradate BF 500-13,2015,175013-18-0,37500,,> 50000,,66000,,,
Pyraclostrobin degradate BF 500-14,2015,175013-18-0,28500,,> 30900,,46600,,,
Pyraflufen-ethyl,2015,129630-19-9,> 42.5,0.89,> 41,81,1.5,16,,
Pyraflufen-ethyl degradate E-1,2015,129630-17-7,45000,10000,> 60500,99000,,,,
Pyrasulfotole,2013,365400-11-9,> 48000,580,> 47900,12800,8300,28,,
Pyrethrin,,8003-34-7,2.55,1.9,5.8,0.86,,,,
Pyridaben,,96489-71-3,0.36,0.087,0.265,0.044,> 665,> 16.2,,
Pyridalyl,,179101-81-6,250,49,2.1,4.4,,,,
Pyrifluquinazon,2014,337458-27-2,1950,,1.4,< 1.4,3300,,,
"Pyrifluquinazon degradate IV-01 (1,2,3,4-tetrahydro-3-[(3-pyridylmethyl)amino]-6-[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]quinazolin-2-one)",2014,,,,0.7,,,,,
"Pyrifluquinazon degradate IV-02 (1,2,3,4-tetrahydro-3-[(3-pyridylmethyl)amino]-6-[1,2,2,2-tetrafluoro-1-(trifluoromethylene)ethyl]quinazolin-2-one)",2014,,,,0.55,,,,,
"Pyrifluquinazon degradate IV-203 (1,2,3,4-tetrahydro-6-[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]quinazolin-2,4-dione)",2014,,,,> 395,,,,,
"Pyrifluquinazon degradate IV-28 (4-hydroxy-3-[(pyridine-3-ylmethylene)amino]-6-[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]-3-4-dihydro-1H-quinazolin-2-one)",2014,,,,1.15,,,,,
Pyrimethanil,,53112-28-0,5050,20,1500,1000,1800,7800,,
Pyriproxyfen,,95737-68-1,> 162.5,4.3,200,0.015,56,> 180,,
Pyroxsulam,,422556-08-9,> 43500,10100,> 49500,10400,111,2.57,,
Quinclorac,2016,84087-01-4,> 48600,16000,> 50000,110000,> 500,> 500,,
Quizalofop ethyl,,76578-14-8,230,11,1060,,> 1770,> 82.8,,
Quizalofop-p-ethyl,2015,100646-51-3,360,10,175,26600,41000,34.5,,
Resmethrin,,10453-86-8,0.14,0.32,1.55,,,,,
Rimsulfuron,,122931-48-0,> 195000,,> 180000,,> 29,11.6,,
Rotenone,,83-79-4,0.97,1.01,1.85,1.25,,,,
S-Metolachlor,2015,87392-12-9,1600,30,13000,100,8,21,,
Saflufenacil,2013,372137-35-4,> 54000,997,> 49000,1330,42,87,,
Sethoxydim,2015,74051-80-2,85000,4860,39050,,> 250,210,,
Siduron,,1982-49-6,4050,15,> 6850,6,212,212,,
Simazine,2014,122-34-9,3200,,500,,2.24,140,,
Sodium Acifluorfen,2015,62476-59-9,8500,1000,14050,,> 355,378,,
Sodium Arsenite,2014,7784-46-5,,,2445,370,,,,
Sodium chlorate,,9/9/7775,> 500000,,460000,500000,133000,43000,,
Sodium cyanide,,143-33-9,94,,,,,,,
Sodium fluoroacetate,,62-74-8,27000,,175000,,,,,
Sodium Metabisulfite,2014,7681-57-4,,,,,,,,
Sodium Tetrathiocarbonate,,7345-69-9,3350,,3300,,17000,,,
Sodium tetrathiocarbonate degradate carbon disulfide,,75-15-0,435,,430,,520,,,
Spinosad,,168316-95-8,2970,498,7000,0.6,90,10600,,
Spirodiclofen,2013,148477-71-8,> 17.55,1.95,> 22.75,11.1,> 60,,,
Spiromesifen,2013,283594-90-1,8.4,0.49,> 46.15,0.25,> 94,> 101.3,,
Spiromesifen-enol,2013,,> 51000,9200,> 50500,,,,,
Spirotetramat,,203313-25-1,705,534,330,100,4050,4490,,
Spirotetramat enol degradate,,,> 50000,,37450,,> 100000,5400,,
Spirotetramat keto hydroxy degradate,,,,,> 50000,,,,,
Sulfentrazone,2015,122836-35-5,46900,2950,30200,200,31,28.8,,
Sulfometuron Methyl,2014,74222-97-2,> 74000,,> 75000,97000,4.3,0.45,,
Sulfosulfuron,,141776-32-1,> 47500,100000,> 48000,102000,400,1,,
Sulfoxaflor,2014,946578-00-3,> 181500,660,> 200000,50500,81200,> 99000,,
Sulfoxaflor degradate- N-(methyl(oxido){1-[6-(trifluoromethyl) pyridin-3-yl]ethyl}-?4-sulfanylidene) urea,2014,,> 239000,,> 102500,,,,,
Sulfur dioxide,,9/5/7446,,,,,,,,
Sumithrin (synonym: d-phenothrin),,26002-80-2,7.9,1.1,2.2,0.47,,,,
Tau-Fluvalinate,,102851-06-9,0.175,,0.47,0.1,,,,
Tebuconazole,,107534-96-3,1135,12,1440,120,1450,151.5,,
Tebufenozide,,112410-23-8,1500,< 48,1900,4.3,> 740,,,
Tebupirimphos,,96182-53-5,44.5,130,0.039,0.011,630,8800,,
Tebuthiuron,2015,34014-18-1,53000,9300,148500,21800,50,130,,
Tefluthrin,2013,79538-32-2,0.03,0.004,0.035,0.008,,,,
Telone,,542-75-6,540,,45,70,7900,20000,,
Tembotrione,2013,335104-84-2,> 50000,604,24450,5100,310,5.2,,
Temephos,,3383-96-8,1745,,5,,,,,
Terbacil,,5902-51-2,23100,1200,32500,640,11,140,,
Terbufos,,13071-79-9,0.385,0.64,0.1,0.03,,,,
Terbuthylazine,,5915-41-3,1700,,25450,,,,,
Tetrachlorvinphos,,961-11-5,265,,0.95,,510,,,
Tetraconazole,2013,112281-77-3,1925,300,1315,190,,310,,
Tetramethrin,,7696-12-0,1.85,,22.5,,,,,
Thiabendazole,2015,148-79-8,280,110,155,42,3060,2320,,
Thiacloprid,2013,111988-49-9,12600,918,18.9,0.97,45000,> 95400,,
Thiacloprid amide,2013,,> 39300,,15600,100,,,,
Thiacloprid sulfonic acid,2013,,> 47550,,> 48050,,> 100000,,,
Thiamethoxam,,153719-23-4,> 50000,20000,17.5,50000,> 97000,> 90000,,
Thiencarbazone-methyl,,317815-83-1,> 52000,4800,> 47000,3540,298,0.8,,
Thifensulfuron-methyl,2015,,> 50000,,> 500000,,> 17.3,1.59,,
Thiobencarb,2015,28249-77-6,220,21,50.6,1,17,770,,
Thiodicarb,,59669-26-0,605,25,2.65,9,> 8300,,,
Thiophanate methyl,2015,23564-05-8,5500,,2700,,930,> 4700,,
Thiophanate methyl degradate Carbendazim (HOE 017411),2015,10605-21-7,5,0.99,55,3.1,,,,
Thiram,,137-26-8,21,530,105,170.6,140,1600,,
Tolclofos-methyl,2014,57018-04-9,345,< 12,350,26,780,,,
"Tolclofos-methyl degradate- O-methyl O-(2,6-dichloro-4-methylphenyl)hydrogen phosphorothioate(DM-TM)",2014,,> 55000,,> 47500,,> 97000,,,
Tolfenpyrad,2015,129558-76-5,0.0815,0.188,0.5,0.244,1,> 30,,
Tolfenpyrad degradate PAM,2015,129558-76-5,> 5000,,,,,,,
Tolfenpyrad degradate PC-TA,2015,129558-76-5,470,,,,,,,
Tolfenpyrad degradate PCA (4-chloro-3-ethyl-1-methylpyrazole-5-carboxylic acid),2015,127892-62-0,> 4850,,,,,,,
Tolfenpyrad degradate PT(A)-4OH (4-chloro-3-ethyl-N-(4-hydroxybenzyl-1-methylpyrazole-5carboxamide),2015,129558-76-5,1550,,,,,,,
Tolfenpyrad degradate PT-CA (4-[4-[4-chloro-3-ethyl-1-methylpyrazol-5-yl)carbonylaminomethyl]phenoxy]benzoic acid),2015,129558-76-5,320,,,,,,,
Topramezone,2014,210631-68-8,> 14190,2930,14850,48600,19000,6.7,,
Topramezone primary degradate (M670H05),2014,,52650,,> 50000,,,360,,
Tralkoxydim,,87820-88-0,> 3750,,> 87000,2100,7700,2600,,
Tralomethrin,,66841-25-6,0.8,0.088,0.0195,0.0044,,,,
Triadimefon,2013,43121-43-3,2050,41,800,52,17000,,,
Triallate,2015,2303-17-5,600,38,45.5,14,21,2400,,
Triasulfuron,,82097-50-5,> 50000,68600,> 50000,105000,,,,
Triazine DACT degradate,,,> 50000,,> 50000,,,,,
Triazine DEA degradate,,,,,,,1000,,,
Triazine DIA degradate,,,8500,,63000,,2500,,,
Triazine HA degradate,,2163-68-0,> 1500,,> 2050,,> 10000,,,
Tribenuron methyl,2013,101200-48-0,> 50000,11800,360000,< 28000,22,2,,
Tribufos,,78-48-8,122.5,3.5,3.4,1.56,148,1100,,
Trichlorfon,,52-68-6,79,110,2.65,0.0057,,,,
Triclopyr Acid,2015,55335-06-3,58500,,66450,,32500,,,
Triclopyr Butoxyethyl Ester (BEE),2015,64700-56-7,180,26,850,,100,880,,
Triclopyr degradate TCP,2015,6515-38-4,6250,,5200,58,2000,8200,,
Triclopyr Triethylamine salt (TEA),2015,57213-69-1,120000,104000,387500,80700,5900,19500,,
Trifloxystrobin,2014,141517-21-7,7.15,4.3,12.65,2.76,37.1,> 1930,,
Trifloxystrobin degradate CGA-321113,2014,141517-21-7,> 53000,,> 47650,3200,77100,,,
Trifloxysulfuron-Sodium (CGA-362622),2014,290332-10-4,> 51500,9520,> 54000,549,6.5,0.24,,
Trifloxysulfuron-Sodium degradate- CGA 382997,2014,,> 48350,,> 49750,,> 95850,,,
Trifloxysulfuron-Sodium degradate- CGA-368732,2014,,> 52000,,> 59500,,23000,,,
Triflumizole,2016,68694-11-1,290,33,695,67,140,720,,
Trifluralin,,1582-09-8,20.5,1.14,280,2.4,7.52,43.5,,
Trinexapac-ethyl,2014,95266-40-3,17500,410,> 72750,2400,350,190,,
Triphenyltin Hydroxide (TPTH),2014,76-87-9,3.55,0.065,5,< 0.2,14,8.3,,
Urea sulfate,,21351-39-3,40000,,,,11500,,,
Vinclozolin,,50471-44-8,1420,60,2000,790,< 1060,> 900,,
Zeta-cypermetherin,,52315-07-8,0.195,0.14,0.0018,0.00059,,,,
Zinc Phosphide,,1314-84-7,,,,,,,,
Ziram,,137-30-4,4.85,101,24,39,67,370,,
Zoxamide,2015,156052-68-5,78,3.48,> 390,39,10,19,,
,,,,,,,,,,
